iter	Passed	Remaining
0	180	95969
1	180	48019
2	184	32698
3	188	24952
4	191	20297
5	195	17246
6	200	15074
7	201	13231
8	205	11960
9	209	11002
10	210	10007
11	213	9285
12	217	8718
13	221	8234
14	225	7809
15	229	7422
16	231	7038
17	231	6647
18	235	6375
19	239	6143
20	243	5937
21	246	5748
22	250	5573
23	254	5411
24	256	5213
25	257	5033
26	260	4891
27	261	4723
28	264	4606
29	266	4475
30	266	4327
31	267	4189
32	267	4057
33	268	3945
34	271	3867
35	275	3804
36	278	3744
37	281	3677
38	286	3631
39	289	3579
40	293	3523
41	296	3474
42	299	3424
43	302	3371
44	306	3330
45	308	3273
46	312	3234
47	315	3192
48	319	3158
49	323	3128
50	326	3090
51	329	3053
52	330	3002
53	334	2969
54	337	2937
55	340	2907
56	342	2868
57	346	2843
58	349	2814
59	353	2791
60	356	2765
61	357	2724
62	358	2682
63	362	2661
64	366	2642
65	370	2630
66	374	2613
67	379	2598
68	379	2559
69	383	2540
70	384	2504
71	387	2486
72	391	2471
73	395	2457
74	396	2429
75	400	2412
76	404	2398
77	405	2367
78	406	2342
79	409	2325
80	413	2310
81	416	2298
82	420	2283
83	421	2257
84	424	2241
85	427	2226
86	431	2217
87	435	2206
88	438	2193
89	442	2181
90	443	2157
91	446	2147
92	450	2136
93	453	2124
94	457	2112
95	460	2101
96	461	2077
97	464	2065
98	467	2054
99	471	2046
100	471	2022
101	475	2013
102	479	2005
103	482	1995
104	486	1986
105	489	1974
106	490	1957
107	493	1945
108	497	1937
109	500	1929
110	504	1923
111	508	1914
112	509	1896
113	509	1877
114	511	1863
115	511	1844
116	515	1837
117	519	1830
118	519	1812
119	520	1795
120	520	1777
121	521	1760
122	524	1752
123	527	1744
124	530	1737
125	534	1729
126	537	1722
127	541	1717
128	544	1710
129	547	1702
130	551	1696
131	554	1689
132	557	1681
133	560	1674
134	564	1667
135	564	1653
136	568	1648
137	572	1643
138	576	1637
139	579	1631
140	582	1624
141	586	1619
142	588	1607
143	591	1602
144	595	1597
145	599	1593
146	603	1588
147	606	1582
148	610	1576
149	613	1571
150	617	1565
151	621	1560
152	625	1556
153	628	1551
154	632	1547
155	636	1541
156	639	1535
157	642	1529
158	646	1524
159	649	1518
160	653	1513
161	656	1506
162	659	1501
163	661	1492
164	665	1488
165	669	1483
166	673	1479
167	676	1474
168	677	1463
169	680	1456
170	683	1450
171	686	1445
172	690	1440
173	694	1436
174	698	1433
175	702	1429
176	706	1424
177	710	1420
178	713	1414
179	717	1410
180	721	1407
181	725	1403
182	726	1393
183	729	1387
184	732	1381
185	736	1378
186	739	1373
187	743	1368
188	747	1363
189	750	1358
190	754	1354
191	758	1350
192	762	1346
193	766	1343
194	770	1338
195	773	1333
196	776	1328
197	780	1324
198	784	1320
199	789	1318
200	789	1308
201	793	1303
202	797	1300
203	800	1294
204	803	1289
205	807	1286
206	810	1280
207	814	1276
208	817	1271
209	821	1267
210	824	1262
211	828	1257
212	831	1253
213	835	1249
214	839	1245
215	840	1236
216	842	1231
217	843	1222
218	847	1218
219	851	1214
220	854	1210
221	856	1203
222	859	1198
223	862	1194
224	866	1190
225	870	1186
226	874	1182
227	877	1177
228	881	1173
229	885	1170
230	888	1165
231	891	1160
232	895	1157
233	899	1153
234	903	1149
235	905	1143
236	908	1138
237	912	1134
238	916	1131
239	920	1127
240	923	1123
241	927	1118
242	930	1114
243	934	1110
244	938	1107
245	942	1103
246	946	1099
247	949	1094
248	953	1091
249	957	1087
250	960	1083
251	964	1079
252	968	1075
253	970	1069
254	974	1066
255	978	1062
256	981	1057
257	985	1054
258	988	1050
259	991	1045
260	995	1040
261	999	1037
262	1002	1032
263	1002	1025
264	1005	1021
265	1008	1016
266	1012	1012
267	1015	1008
268	1019	1004
269	1023	1000
270	1026	996
271	1026	989
272	1030	984
273	1033	980
274	1036	976
275	1039	972
276	1043	968
277	1047	964
278	1049	958
279	1051	954
280	1056	951
281	1059	946
282	1062	942
283	1065	938
284	1069	934
285	1073	930
286	1076	926
287	1079	922
288	1083	918
289	1086	914
290	1087	908
291	1090	904
292	1093	899
293	1096	895
294	1098	890
295	1099	884
296	1102	879
297	1106	876
298	1108	870
299	1111	866
300	1114	862
301	1118	859
302	1121	855
303	1125	851
304	1129	847
305	1132	843
306	1135	839
307	1138	835
308	1141	831
309	1144	826
310	1147	822
311	1151	819
312	1155	815
313	1159	812
314	1162	808
315	1166	804
316	1170	800
317	1174	797
318	1177	793
319	1180	789
320	1183	785
321	1187	782
322	1190	777
323	1193	773
324	1197	769
325	1200	766
326	1203	761
327	1207	758
328	1212	755
329	1215	751
330	1218	747
331	1221	743
332	1224	739
333	1228	735
334	1232	732
335	1235	728
336	1239	724
337	1243	721
338	1247	717
339	1250	713
340	1253	709
341	1256	705
342	1256	699
343	1259	695
344	1262	691
345	1266	688
346	1270	684
347	1273	680
348	1277	676
349	1280	673
350	1284	669
351	1285	664
352	1288	660
353	1292	657
354	1296	653
355	1300	650
356	1301	645
357	1302	640
358	1305	636
359	1309	633
360	1313	629
361	1316	625
362	1320	621
363	1320	616
364	1323	612
365	1327	609
366	1331	605
367	1335	602
368	1338	598
369	1341	594
370	1346	591
371	1347	586
372	1351	583
373	1354	579
374	1359	576
375	1363	572
376	1366	569
377	1370	565
378	1374	562
379	1378	558
380	1382	555
381	1385	551
382	1389	547
383	1392	543
384	1396	540
385	1400	536
386	1403	533
387	1406	529
388	1410	525
389	1414	522
390	1418	518
391	1421	514
392	1425	511
393	1428	507
394	1432	503
395	1436	500
396	1440	496
397	1444	493
398	1447	489
399	1450	485
400	1453	482
401	1456	478
402	1459	474
403	1463	470
404	1465	466
405	1466	462
406	1469	458
407	1473	454
408	1477	451
409	1481	447
410	1485	444
411	1489	440
412	1492	437
413	1495	433
414	1498	429
415	1503	426
416	1507	423
417	1511	419
418	1514	415
419	1517	411
420	1521	408
421	1524	404
422	1528	400
423	1531	397
424	1535	393
425	1539	390
426	1542	386
427	1546	382
428	1548	379
429	1551	375
430	1555	371
431	1559	368
432	1563	364
433	1566	361
434	1571	357
435	1574	353
436	1577	350
437	1581	346
438	1584	342
439	1588	339
440	1592	335
441	1597	332
442	1600	328
443	1603	325
444	1607	321
445	1610	317
446	1614	314
447	1618	310
448	1621	306
449	1625	303
450	1629	299
451	1633	296
452	1637	292
453	1640	289
454	1644	285
455	1648	281
456	1652	278
457	1656	274
458	1660	271
459	1663	267
460	1667	264
461	1671	260
462	1674	256
463	1678	253
464	1681	249
465	1685	245
466	1687	242
467	1690	238
468	1693	234
469	1696	231
470	1700	227
471	1703	223
472	1705	219
473	1708	216
474	1711	212
475	1715	209
476	1719	205
477	1723	201
478	1726	198
479	1729	194
480	1733	190
481	1736	187
482	1738	183
483	1741	179
484	1744	176
485	1748	172
486	1752	169
487	1756	165
488	1759	161
489	1764	158
490	1767	154
491	1771	151
492	1776	147
493	1779	144
494	1782	140
495	1785	136
496	1789	133
497	1792	129
498	1795	125
499	1798	122
500	1802	118
501	1806	115
502	1810	111
503	1813	107
504	1818	104
505	1822	100
506	1825	97
507	1829	93
508	1833	90
509	1837	86
510	1841	82
511	1844	79
512	1848	75
513	1849	71
514	1853	68
515	1856	64
516	1860	61
517	1864	57
518	1866	53
519	1870	50
520	1873	46
521	1877	43
522	1881	39
523	1884	35
524	1888	32
525	1892	28
526	1895	25
527	1899	21
528	1902	17
529	1905	14
530	1908	10
531	1913	7
532	1916	3
533	1919	0
